Project ID,ISO,Queue Date,Status,County,State,POI Name,MW Capacity,Fuel Type,Proposed Date,Transmission Owner,Study Cycle,Study Group,Service Type,Done Date
J4183,MISO,2025-10-07 01:41:17+00:00,Active,,,,99.90,Other,2027-04-28 04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2025,South,NRIS,
J4175,MISO,2025-10-07 19:08:44+00:00,Active,,,,770.00,Other,2029-09-01 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2026,South,NRIS,
J4176,MISO,2025-10-06 23:46:01+00:00,Withdrawn,,,,1750.00,Other,2028-09-01 04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2025,South,NRIS,
J4180,MISO,2025-10-07 20:00:44+00:00,Active,,,,755.00,Other,2030-01-02 05:00:00+00:00,NORTHERN STATES POWER COMPANY,DPP-2026,West,NRIS,
J4186,MISO,2025-10-07 19:20:31+00:00,Active,,,,1540.00,Other,2029-09-01 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2026,South,NRIS,
J4179,MISO,2025-10-07 20:34:28+00:00,Active,,,,735.00,Other,2030-01-02 05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,DPP-2026,East (ATC),NRIS,
J4187,MISO,2025-10-07 20:12:47+00:00,Active,,,,755.00,Other,2030-01-02 05:00:00+00:00,NORTHERN STATES POWER COMPANY,DPP-2026,West,NRIS,
J4181,MISO,2025-10-07 20:21:33+00:00,Withdrawn,,,,755.00,Other,2030-02-01 05:00:00+00:00,MINNESOTA POWER INC.,DPP-2026,West,NRIS,
J4184,MISO,2025-10-07 20:25:22+00:00,Active,,,,755.00,Other,2030-02-01 05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,DPP-2026,East (ATC),NRIS,
J4177,MISO,2025-10-07 23:07:23+00:00,Active,,,,735.00,Other,2030-01-02 05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,DPP-2026,East (ATC),NRIS,
J4178,MISO,2025-10-07 19:42:02+00:00,Active,,,,755.00,Other,2030-01-02 05:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2026,South,NRIS,
J4185,MISO,2025-10-07 19:50:56+00:00,Active,,,,755.00,Other,2030-01-02 05:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2026,South,NRIS,
J3831,MISO,2024-10-08 04:00:00+00:00,Withdrawn,Madison,IN,Noblesville (Duke) - Fall Creek (AEP/PJM) 345.0kV,215.00,Hybrid,2029-06-01 04:00:00+00:00,INDIANAPOLIS POWER & LIGHT COMPANY,DPP-2025,Central,NRIS,
J3832,MISO,2024-07-30 04:00:00+00:00,Withdrawn,Macomb,MI,Lenox 120kV Substation (Bus #264749),200.00,Storage,2028-04-05 04:00:00+00:00,ITC,DPP-2025,East (ITC),NRIS,
J3834,MISO,2024-09-19 04:00:00+00:00,Withdrawn,Gibson,IN,Gibson Sta - Francisco 345.0kV,300.00,Storage,2026-10-01 04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",DPP-2025,Central,NRIS,
J3833,MISO,2024-10-01 04:00:00+00:00,Active,Cass,ND,Buffalo 115 kV,200.00,Wind,2028-09-01 04:00:00+00:00,OTTER TAIL POWER COMPANY,DPP-2025,West,NRIS,
J3464,MISO,2024-04-16 04:00:00+00:00,Active,Story,IA,Fernald,200.00,Solar,2028-06-30 04:00:00+00:00,ITC MIDWEST,DPP-2023,West,NRIS,
J3462,MISO,2024-04-17 04:00:00+00:00,Withdrawn,Tama,IA,Dysart - Traer 161kV,187.00,Solar,2028-05-01 04:00:00+00:00,ITC MIDWEST,DPP-2023,West,NRIS,
J3461,MISO,2024-04-17 04:00:00+00:00,Active,Muscatine,IA,SUB 56 - SUB 89 161.0kV,156.00,Solar,2028-05-01 04:00:00+00:00,MIDAMERICAN ENERGY CO.,DPP-2023,West,NRIS,
J3463,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Jefferson,MS,LORMAN SS (CE) - FAYETTE 115.0kV,100.00,Solar,2026-10-01 04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2023,South,NRIS,
J3485,MISO,2024-04-16 04:00:00+00:00,Active,Huron,MI,RAPSON,100.00,Storage,2028-09-15 04:00:00+00:00,ITC,DPP-2023,East (ITC),NRIS,
J3483,MISO,2024-04-16 04:00:00+00:00,Withdrawn,Champaign,IL,4RANTOUL  - 4RISING   138.0kV,137.40,Wind,2027-03-01 05:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3486,MISO,2024-04-15 04:00:00+00:00,Withdrawn,Muskegon,MI,Rogers 138 kV Substation,200.00,Storage,2028-06-01 04:00:00+00:00,WOLVERINE POWER SUPPLY COOPERATIVE,DPP-2023,East (ITC),NRIS,
J3482,MISO,2024-04-16 04:00:00+00:00,Withdrawn,McLean,IL,Other_,350.00,Solar,2028-09-30 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,ERIS,
J3484,MISO,2024-04-12 04:00:00+00:00,Withdrawn,Union,AR,EL DORADO EHV - SAREPTA 345/115 SS 345.0kV,200.00,Solar,2027-02-28 05:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2023,South,ERIS,
J3487,MISO,2024-04-16 04:00:00+00:00,Withdrawn,Vermillion,IN,CAYUGA 345,400.00,Solar,2028-09-30 04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",DPP-2023,Central,NRIS,
J3488,MISO,2024-04-16 04:00:00+00:00,Withdrawn,Vermillion,IN,CAYUGA 345,400.00,Storage,2028-09-30 04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",DPP-2023,Central,NRIS,
J3490,MISO,2024-03-21 04:00:00+00:00,Withdrawn,Caldwell,KY,Caldwell County,200.00,Storage,2027-09-01 04:00:00+00:00,BIG RIVERS ELECTRIC CORPORATION,DPP-2023,Central,NRIS,
