Project ID,ISO,Status,Queue Date,Proposed Date,Transmission Owner,Service Type,County,State,Study Cycle,Study Group,MW Capacity,Fuel Type
TI-18-0827,SPP,Done,2018-08-27,2022-06-24,TSGT,ERIS/NRIS,Weld County,CO,RTOE Transitional Cluster,,145.00,Wind
TI-17-0224,SPP,Done,2017-02-24,2020-09-02,TSGT,ERIS/NRIS,Kit Carson/Cheyenne Counties,CO,RTOE Transitional Cluster,,104.00,Wind
GI-TC-2024-31,SPP,Active,2024-05-29,2027-10-01,TSGT,ERIS,Elbert County,CO,RTOE Transitional Cluster,,398.00,Hybrid
GI-TC-2024-30,SPP,Done,2024-05-29,2028-03-01,TSGT,ERIS/NRIS,Morgan County,CO,RTOE Transitional Cluster,,199.90,Hybrid
GI-TC-2024-29,SPP,Active,2024-05-29,2027-09-15,TSGT,ERIS/NRIS,Kit Carson County,CO,RTOE Transitional Cluster,,170.00,Wind
GI-TC-2024-28,SPP,Active,2023-05-31,2031-06-02,TSGT,ERIS/NRIS,Weld County,CO,RTOE Transitional Cluster,,222.30,Solar
GI-TC-2024-26,SPP,Active,2023-05-31,2028-01-01,TSGT,ERIS/NRIS,Elbert County,CO,RTOE Transitional Cluster,,199.00,Hybrid
GI-TC-2024-25,SPP,Active,2024-05-28,2031-06-02,TSGT,ERIS,Weld County,CO,RTOE Transitional Cluster,,350.00,Wind
GI-TC-2024-22,SPP,Active,2024-05-23,2031-06-02,TSGT,ERIS/NRIS,Weld County,CO,RTOE Transitional Cluster,,140.00,Solar
GI-TC-2024-21,SPP,Active,2024-05-24,2030-07-02,TSGT,ERIS,Montezuma County,CO,RTOE Transitional Cluster,,125.00,Hybrid
GI-TC-2024-20,SPP,Active,2024-05-29,2030-09-02,TSGT,ERIS/NRIS,Lincoln County,CO,RTOE Transitional Cluster,,250.00,Solar
GI-TC-2024-19,SPP,Done,2024-05-07,2027-05-03,TSGT,ERIS,Montrose County,CO,RTOE Transitional Cluster,,100.00,Storage
GI-TC-2024-18,SPP,Active,2024-05-29,2029-08-02,TSGT,ERIS,Montezuma County,CO,RTOE Transitional Cluster,,100.00,Storage
GI-TC-2024-17,SPP,Active,2024-05-29,2030-07-02,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,225.00,Solar
GI-TC-2024-16,SPP,Done,2023-05-16,2029-06-30,TSGT,ERIS,Laramie County,WY,RTOE Transitional Cluster,,400.00,Wind
GI-TC-2024-15,SPP,Done,2024-05-23,2029-09-30,TSGT,ERIS,Laramie County,WY,RTOE Transitional Cluster,,250.00,Wind
GI-TC-2024-14,SPP,Active,2023-05-31,2031-04-02,TSGT,ERIS/NRIS,Weld County,CO,RTOE Transitional Cluster,,206.01,Solar
GI-TC-2024-12,SPP,Done,2024-05-21,2027-03-01,TSGT,ERIS,Yuma County,CO,RTOE Transitional Cluster,,170.00,Wind
GI-TC-2024-11,SPP,Done,2024-05-29,2027-12-31,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,166.60,Wind
GI-TC-2024-10,SPP,Active,2024-05-23,2026-03-05,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,199.00,Solar
GI-TC-2024-09,SPP,Active,2023-05-26,2028-12-05,TSGT,ERIS,Yuma County,CO,RTOE Transitional Cluster,,199.00,Solar
GI-TC-2024-08,SPP,Done,2023-05-26,2027-12-31,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,150.00,Wind
GI-TC-2024-07,SPP,Active,2023-05-22,2026-11-01,TSGT,ERIS,Cheyenne County,CO,RTOE Transitional Cluster,,199.00,Solar
GI-TC-2024-06,SPP,Active,2023-05-22,2027-12-01,TSGT,ERIS,Platte County,WY,RTOE Transitional Cluster,,150.00,Wind
GI-TC-2024-05,SPP,Active,2023-05-22,2027-12-01,TSGT,ERIS,Platte County,WY,RTOE Transitional Cluster,,150.00,Wind
GI-TC-2024-04,SPP,Active,2023-05-22,2027-12-01,TSGT,ERIS,Platte County,WY,RTOE Transitional Cluster,,150.00,Wind
GI-TC-2024-03,SPP,Active,2023-05-08,2029-10-02,TSGT,ERIS,Platte/Goshen Counties,WY,RTOE Transitional Cluster,,160.00,Solar
GI-TC-2024-02,SPP,Active,2024-04-25,2030-08-02,TSGT,ERIS/NRIS,Lincoln County,CO,RTOE Transitional Cluster,,150.00,Hybrid
GI-TC-2024-01,SPP,Active,2024-04-25,2030-08-02,TSGT,ERIS/NRIS,Lincoln County,CO,RTOE Transitional Cluster,,150.00,Hybrid
GI-TC-2021-07,SPP,Done,2021-03-15,2024-05-01,TSGT,ERIS/NRIS,Delta County,CO,RTOE Transitional Cluster,,80.00,Solar
GI-TC-2021-06,SPP,Done,2021-03-15,2021-10-29,TSGT,ERIS/NRIS,Logan County,CO,RTOE Transitional Cluster,,200.00,Wind
GI-TC-2021-03,SPP,Done,2021-03-15,2024-06-14,TSGT,ERIS/NRIS,Dolores County,CO,RTOE Transitional Cluster,,110.00,Solar
GI-TC-2021-01,SPP,Done,2021-03-15,2024-06-30,TSGT,ERIS/NRIS,Moffat & Rio Blanco Counties,CO,RTOE Transitional Cluster,,145.00,Solar
GI-SISS-2026-04,SPP,Active,2026-02-09,2028-01-03,TSGT,ERIS,"Kit Carson County,",CO,RTOE Transitional Cluster,,150.00,Storage
GI-SISS-2026-03,SPP,Active,2026-02-09,2028-01-03,TSGT,ERIS,"Kit Carson County,",CO,RTOE Transitional Cluster,,150.00,Storage
GI-SISS-2025-06,SPP,Active,2025-10-02,,TSGT,ERIS/NRIS,Logan County,CO,RTOE Transitional Cluster,,200.00,Storage
GI-SISS-2025-05,SPP,Active,2025-08-08,,TSGT,ERIS/NRIS,Kit Carson County,CO,RTOE Transitional Cluster,,150.00,Storage
GI-SISS-2025-04,SPP,Active,2025-07-25,2027-09-30,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,79.00,Storage
