Project ID,ISO,Status,Queue Date,Withdrawn Date,Proposed Date,State,County,Zone,MW Capacity,Fuel Type,Transmission Owner,Service Type,Study Cycle,Study Group,Name,Study Phase,POI Name,Developer,Done Date,POI,Completion Probability,Latitude,Longitude,Screening Started Date,Screening Complete Date,FIS Requested Date,FIS Approved Date,IA Signed Date,Construction Start Date,Construction End Date,Approved Energization Date,Approved Sync Date,Latest Milestone,Latest Milestone Date,Milestones
TI-18-0827,SPP,Done,2018-08-27 00:00:00,,2022-06-24 00:00:00,CO,Weld County,,145.00,Wind,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
TI-17-0224,SPP,Done,2017-02-24 00:00:00,,2020-09-02 00:00:00,CO,Kit Carson/Cheyenne Counties,,104.00,Wind,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-31,SPP,Active,2024-05-29 00:00:00,,2027-10-01 00:00:00,CO,Elbert County,,398.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-30,SPP,Active,2024-05-29 00:00:00,,2028-03-01 00:00:00,CO,Morgan County,,199.90,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-29,SPP,Active,2024-05-29 00:00:00,,2027-09-15 00:00:00,CO,Kit Carson County,,170.00,Wind,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-28,SPP,Active,2023-05-31 00:00:00,,2031-06-02 00:00:00,CO,Weld County,,222.30,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-26,SPP,Active,2023-05-31 00:00:00,,2028-01-01 00:00:00,CO,Elbert County,,199.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-25,SPP,Active,2024-05-28 00:00:00,,2031-06-02 00:00:00,CO,Weld County,,350.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-22,SPP,Active,2024-05-23 00:00:00,,2031-06-02 00:00:00,CO,Weld County,,140.00,Solar,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-TC-2024-21,SPP,Active,2024-05-24 00:00:00,,2030-07-02 00:00:00,CO,Montezuma County,,125.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
