Project ID,Name,ISO,Status,Queue Date,Withdrawn Date,County,State,Zone,MW Capacity,Fuel Type,Proposed Date
1090,Park City Offshore Wind CNR,ISONE,Active,2021-01-13,,,MA,SEMA,838.20,Wind,2029-12-31
1116,SouthCoast Wind 1,ISONE,Active,2021-04-13,,,MA,RI,1200.00,Wind,2031-12-31
1123,Naugatuck Avenue Battery Storage CNR Only (see QP1089),ISONE,Active,2021-04-21,,New Haven,CT,SWCT,205.32,Storage,2028-10-31
1148,Lite Brite Battery Storage,ISONE,Active,2021-07-13,,Suffolk,MA,BOST,305.62,Storage,2028-05-26
1171,Twin Energy Wind,ISONE,Active,2021-10-25,,Oxford,ME,ME,20.00,Wind,2026-11-06
1238,Battery Storage,ISONE,Active,2022-03-22,,Norfolk,MA,SEMA,301.26,Storage,2028-04-28
1252,Battery Storage,ISONE,Withdrawn,2022-04-21,2025-12-22,Essex,MA,BOST,314.70,Storage,2032-08-01
1365,Battery Storage,ISONE,Active,2023-03-09,,Hampden,MA,WMA,254.20,Storage,2029-06-30
1412,Battery Storage,ISONE,Active,2023-06-20,,Bristol,MA,SEMA,169.84,Storage,2027-09-30
1427,Solar,ISONE,Active,2023-07-21,,York,ME,ME,183.32,Solar,2029-12-30
1428,Solar,ISONE,Active,2023-07-25,,Rockingham,NH,NH,101.55,Solar,2028-12-30
1460,Battery Storage,ISONE,Withdrawn,2023-10-12,2026-02-27,Bristol,MA,RI,353.54,Storage,2027-09-30
1495,Battery Storage,ISONE,Active,2024-02-22,,Windsor,VT,VT,19.30,Storage,2029-07-01
1502,Battery Storage,ISONE,Active,2024-03-28,,Franklin,VT,VT,19.30,Storage,2029-07-01
1513,Battery Storage,ISONE,Active,2024-04-08,,Worcester,MA,CMA,318.27,Storage,2028-08-30
1515,Battery Storage,ISONE,Active,2024-04-09,,Berkshire,MA,WMA,295.80,Storage,2028-08-30
1518,Battery Storage,ISONE,Active,2024-04-09,,Berkshire,MA,WMA,139.50,Storage,2028-08-30
1542,Battery Storage,ISONE,Active,2024-05-28,,Hampden,MA,WMA,170.00,Storage,2029-12-31
1543,Battery Storage,ISONE,Active,2024-05-28,,Barnstable,MA,SEMA,585.30,Storage,2028-12-01
1546,Battery Storage,ISONE,Withdrawn,2024-05-30,2026-06-25,Berkshire,MA,WMA,170.00,Storage,2029-12-31
1551,Battery Storage,ISONE,Active,2024-05-31,,Worcester,MA,CMA,181.78,Storage,2028-04-27
1553,Battery Storage,ISONE,Active,2024-06-04,,Middlesex,MA,CMA,126.40,Storage,2028-05-01
1555,Battery Storage,ISONE,Active,2024-06-06,,Essex,MA,BOST,207.44,Storage,2028-01-01
1557,Battery Storage,ISONE,Active,2024-06-06,,Essex,MA,BOST,240.16,Storage,2028-01-01
1567,Battery Storage,ISONE,Active,2024-06-11,,Middlesex,MA,SEMA,509.18,Storage,2028-04-27
489,Clear River,ISONE,Withdrawn,2015-01-08,2019-11-26,Providence,RI,RI,1030.00,Thermal,2022-05-31
490,Kendall Reconfiguration Project,ISONE,Done,2015-01-15,,Middlesex,MA,BOST,75.00,Thermal,2016-05-31
491,Fore River CNR Increase,ISONE,Done,2015-01-16,,Norfolk,MA,SEMA,800.00,Thermal,2016-01-20
492,Combustion Turbine Generator,ISONE,Withdrawn,2015-02-05,2017-10-03,Providence,RI,RI,238.00,Thermal,2020-05-31
496,Millinocket Frequency Conversion,ISONE,Done,2015-02-13,,Penobscot,ME,BHE,126.00,Hydro,2019-06-15
497,Beacon Falls Energy Park,ISONE,Withdrawn,2015-02-13,2020-01-30,New Haven,CT,SWCT,62.90,Thermal,2022-04-01
498,150 kV HVDC Tie - Import Only,ISONE,Withdrawn,2015-02-16,2018-02-02,Colchester,VT,VT,400.00,Other,2020-12-31
499,Northern Pass Transmission Project (300 kV HVDC/AC Tie) - Import Only,ISONE,Withdrawn,2015-02-16,2019-08-14,Rockingham,NH,NH,1090.00,Other,2022-12-29
501,NE Clean Power Link - controllable HVDC Tie - Import only,ISONE,Withdrawn,2015-02-16,2026-06-23,Windsor,VT,VT,1000.00,Other,2027-12-31
502,345 kV Tie - Phase 1,ISONE,Withdrawn,2015-02-16,2015-04-17,Aroostook,ME,BHE,200.00,Other,2016-12-01
503,HVDC Tie - Import only,ISONE,Withdrawn,2015-02-16,2015-04-15,Rutland,VT,VT,1000.00,Other,2018-12-31
504,HVDC Tie - Import only,ISONE,Withdrawn,2015-02-16,2015-04-15,Addison,VT,VT,1000.00,Other,2018-12-31
505,HVDC Tie - Import only,ISONE,Withdrawn,2015-02-16,2015-04-17,Windsor,VT,VT,1000.00,Other,2017-12-31
506,Internal HVDC - North to South flow,ISONE,Withdrawn,2015-02-16,2020-02-10,Suffolk,MA,BOST,1000.00,Other,2027-10-01
