Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type
AH1-563,PJM,2021-09-11,Active,,2029-06-01,TC2,PHASE 2,Aurora E.C. 138kV,ComEd,150.00,Storage
AG2-344,PJM,2021-03-26,Withdrawn,2025-12-02,2028-12-31,TC2,Decision Point 1,Dequine 345 bkV,AEP,78.00,Storage
AH1-570,PJM,2021-09-10,Active,,,TC2,PHASE 2,Millersburg 69 kV,EKPC,15.60,Solar
AH1-571,PJM,2021-09-10,Active,,,TC2,PHASE 2,Millersburg 69 kV,EKPC,12.50,Solar
AH1-617,PJM,2021-09-10,Active,,2028-12-31,TC2,PHASE 2,Harbert Metering 138 kV,AEP,120.00,Solar
AH1-644,PJM,2021-09-15,Withdrawn,2025-12-01,2030-06-01,TC2,Decision Point 1,Spicewood Metering 138 kV,AEP,65.00,Solar
AH1-427,PJM,2021-09-10,Withdrawn,2025-11-26,2028-04-01,TC2,Decision Point 1,Tommy Gooch - Garrard County 69 kV,EKPC,60.00,Solar
AH1-136,PJM,2021-08-25,Withdrawn,2025-12-02,2026-12-01,TC2,Decision Point 1,Falcon - Middle Creek 46 kV,AEP,12.00,Solar
AH1-163,PJM,2021-09-01,Withdrawn,2025-01-28,2025-07-31,TC2,APPLICATION REVIEW,Millersburg 69 kV,EKPC,60.00,Solar
AH1-721,PJM,2025-04-02,Active,,,TC2,PHASE 2,Laurel-Cooper 161 kV,EKPC,758.95,Thermal
AH1-749,PJM,,Withdrawn,2025-05-02,2028-12-12,TC2,RRI APPLICATION REVIEW,,EKPC,216.00,Thermal
AH1-189,PJM,2021-08-31,Withdrawn,2025-07-03,2025-06-01,TC2,PHASE 1,Hopkins 138 kV,AEP,84.00,Solar
AG2-466,PJM,2021-03-30,Withdrawn,2025-07-03,2024-06-30,TC2,PHASE 1,Culloden - Wyoming 765 kV,AEP,198.00,Solar
AG2-509,PJM,2021-03-31,Withdrawn,2025-03-04,2024-06-01,TC2,APPLICATION REVIEW,Robinson 69 kV,AEP,36.30,Hybrid
AG2-568,PJM,2021-03-31,Active,,,TC2,PHASE 2,Stink Run - Sundial 138 kV,AEP,48.00,Solar
AG2-447,PJM,2021-03-30,Active,,,TC2,PHASE 2,Cedar Creek 138 kV VII,DPL,12.00,Solar
AH1-761,PJM,,Withdrawn,2025-05-02,2029-04-30,TC2,RRI APPLICATION REVIEW,,DPL,71.00,Storage
AH1-760,PJM,,Withdrawn,2025-05-02,2028-10-31,TC2,RRI APPLICATION REVIEW,,DPL,31.00,Storage
AH1-027,PJM,2021-05-20,Withdrawn,2025-12-01,2027-05-01,TC2,Decision Point 1,Cartanza 230 kV,DPL,15.00,Solar
AG1-497,PJM,2020-09-30,Withdrawn,2025-01-22,2023-06-30,TC1,PHASE 2,Cartanza 230 kV,DPL,84.00,Hybrid
AG1-061,PJM,2020-07-29,Withdrawn,2024-06-25,2021-12-31,TC1,PHASE 1,Laurel-Sharptown 69 kV,DPL,65.58,Solar
AF2-193,PJM,2020-03-23,Withdrawn,2024-06-21,2026-10-31,TC1,PHASE 1,Indian River 230 kV I,DPL,119.00,Wind
AF2-194,PJM,2020-03-23,Withdrawn,2024-06-21,2026-10-31,TC1,PHASE 1,Indian River 230 kV II,DPL,119.00,Wind
AG2-347,PJM,2021-03-26,Withdrawn,2025-11-21,2030-12-31,TC2,Decision Point 1,Indian River 230 kV II,DPL,121.20,Wind
AG2-348,PJM,2021-03-26,Withdrawn,2025-02-25,2025-08-31,TC2,APPLICATION REVIEW,Indian River 230 kV II,DPL,242.30,Wind
AH1-672,PJM,2020-09-30,Active,,,TC2,PHASE 2,Farmview 138 kV,DPL,48.90,Solar
AH1-634,PJM,2021-09-13,Withdrawn,2025-11-21,2027-12-31,TC2,Decision Point 1,Indian River 230kV I,DPL,17.70,Wind
AH1-584,PJM,2021-09-10,Withdrawn,2025-12-02,2028-10-31,TC2,Decision Point 1,Nelson-Indian River 138kV,DPL,30.00,Solar
AH1-585,PJM,2021-09-10,Withdrawn,2025-12-02,2028-10-31,TC2,Decision Point 1,Nelson-Indian River 138kV,DPL,30.00,Solar
AH1-586,PJM,2021-09-10,Withdrawn,2025-12-02,2028-10-31,TC2,Decision Point 1,Nelson-Indian River 138kV,DPL,45.00,Storage
AF2-393,PJM,2020-03-31,Withdrawn,2025-01-22,2024-09-01,TC1,PHASE 2,Nelson-Dixon 138 kV,ComEd,55.00,Storage
AF2-394,PJM,2020-03-31,Withdrawn,2025-01-22,2024-09-01,TC1,PHASE 2,Nelson-Dixon 138 kV,ComEd,40.00,Storage
AH1-047,PJM,2021-07-06,Withdrawn,2025-12-03,2028-12-12,TC2,Decision Point 1,Marengo - Belvidere 138 kV,ComEd,37.00,Solar
AG1-121,PJM,2020-08-31,Withdrawn,2024-06-24,2024-12-31,TC1,PHASE 1,Kewanee-Streator 138 kV,ComEd,51.90,Wind
AG1-435,PJM,2020-09-30,Withdrawn,2025-02-21,2023-12-31,TC1,DP2,Kewanee-Hennepin 138 kV,ComEd,35.20,Wind
