Cluster,Position,Updated,Type,Requested,Alternative Name,Unit,Fuel Type,Net MW,Summer MW,Winter MW,County,State,Op Date,Sync Date,W/ D Date,Interconnection Location,Serv,SIS Complete,I39,TO Report,Dev,Zone,FS,SIS,OS,FAC,IA,Project Status
TCS,1090,2025-10-17 14:18:37.532,G,2021-01-13,Park City Offshore Wind CNR,WT,WND,0.00,838.20,838.20,,MA,2029-12-31,2029-05-01,,Eversource (NSTAR) 345kV West Barnstable ,CNR,False,False,,,SEMA,,,,,Executed,Under Study
TCS,1116,2026-06-17 16:54:41.913,G,2021-04-13,SouthCoast Wind 1,WT,WND,1200.00,1200.00,1200.00,,MA,2031-12-31,2030-05-01,,Brayton Point making use of QP 837 to connect,NR,True,True,ISO-NE,PD,RI,Document Posted,Document Posted,,,Executed,Under Study
TCS,1123,2025-10-17 14:19:03.164,G,2021-04-21,Naugatuck Avenue Battery Storage CNR Only (see QP1089),OT,BAT,0.00,205.32,205.32,New Haven,CT,2028-10-31,2028-10-01,,devon 115kV substation,CNR,False,False,,PD,SWCT,,,,,,Under Study
TCS,1148,2026-04-08 09:00:20.784,G,2021-07-13,Lite Brite Battery Storage,OT,BAT,300.00,305.62,305.62,Suffolk,MA,2028-05-26,2028-04-30,,"Electric Avenue 115 kV substation (bus number 110926), Zone MA_NST",CNR,True,True,ISO-NE,,BOST,Document Posted,Document Posted,,,Executed,Under Study
TCS,1171,2025-10-17 14:19:38.250,G,2021-10-25,Twin Energy Wind,WT,WND,18.30,20.00,20.00,Oxford,ME,2026-11-06,2026-10-09,,Roxbury Substation,CNR,True,True,ISO-NE,PD,ME,Document Posted,Document Posted,,,Executed,
TCS,1238,2025-11-12 16:42:16.448,G,2022-03-22,Battery Storage,OT,BAT,300.00,301.26,301.26,Norfolk,MA,2028-04-28,2027-11-30,,West Medway 345kV station,CNR,False,False,,PD,SEMA,Document Posted,,,,,Under Study
TCS,1252,2026-04-08 09:04:14.703,G,2022-04-21,Battery Storage,OT,BAT,310.00,314.70,314.70,Essex,MA,2032-08-01,2032-07-01,2025-12-22,Ward Hill 345 kV Substation,CNR,True,True,,PD,BOST,Document Posted,Document Posted,Not Required,Not Required,In Progress,Under Study
TCS,1365,2025-11-12 16:41:31.295,G,2023-03-09,Battery Storage,OT,BAT,250.00,254.20,254.20,Hampden,MA,2029-06-30,2029-01-29,,Connect to South Agawam 115 kV switchyard,CNR,False,False,,PD,WMA,Document Posted,,,,,Under Study
TCS,1412,2025-11-12 16:43:06.415,G,2023-06-20,Battery Storage,OT,BAT,168.00,169.84,169.84,Bristol,MA,2027-09-30,2027-09-15,,"Direct tap into the Pottersville Substation in Somerset, MA",CNR,False,False,,PD,SEMA,,,,,,Under Study
TCS,1427,2025-11-12 16:45:07.355,G,2023-07-21,Solar,PV,SUN,180.00,183.32,183.32,York,ME,2029-12-30,2029-12-01,,"Lebanon, Maine Line 391 Buxton Sub (CMP) to Scobie Pond (Eversource). GPS coordinates of the POI: 43°22'51.59""N,  70°55'57.74""W.
** This new tap is located approximately 27.8 miles southwest of Buxton substation and approx. 39.9 miles northeast of the Scobie Pond substation.",CNR,False,False,,PD,ME,Document Posted,,,,,Under Study
