id,projectNumber,queueDate,inService,transmissionOwner,county,state,studyCycle,studyGroup,studyPhase,svcType,poiName,summerNetMW,winterNetMW,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,fuelType,facilityType,applicationStatus,sisPhase1,postGIAStatus,withdrawnDate,negInService,doneDate,giaToExec
3044030,J4183,2025-10-07T01:41:17+00:00,2027-04-28T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",,,DPP-2025,South,Phase 1,NRIS,,99.90,99.90,23.00,23.00,0.00,0.00,,,Active,,,,,,
3044031,J4182,2025-10-08T00:37:52+00:00,2028-11-01T04:00:00+00:00,"ENTERGY ARKANSAS, LLC",,,ERAS Study Cycle 2,South,,NRIS,,0.00,0.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044032,J4175,2025-10-07T19:08:44+00:00,2029-09-01T04:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,770.00,770.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044033,J4176,2025-10-06T23:46:01+00:00,2028-09-01T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",,,DPP-2025,South,Phase 1,NRIS,,1750.00,1750.00,0.00,0.00,0.00,0.00,,,Withdrawn,,,2026-01-02T05:00:00+00:00,,,
3044034,J4180,2025-10-07T20:00:44+00:00,2030-01-02T05:00:00+00:00,NORTHERN STATES POWER COMPANY,,,DPP-2026,West,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044035,J4186,2025-10-07T19:20:31+00:00,2029-09-01T04:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,1540.00,1540.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044036,J4179,2025-10-07T20:34:28+00:00,2030-01-02T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,,,DPP-2026,East (ATC),,NRIS,,735.00,735.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044037,J4187,2025-10-07T20:12:47+00:00,2030-01-02T05:00:00+00:00,NORTHERN STATES POWER COMPANY,,,DPP-2026,West,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044038,J4181,2025-10-07T20:21:33+00:00,2030-02-01T05:00:00+00:00,MINNESOTA POWER INC.,,,DPP-2026,West,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Withdrawn,,,2026-04-28T04:00:00+00:00,,,
3044039,J4184,2025-10-07T20:25:22+00:00,2030-02-01T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,,,DPP-2026,East (ATC),,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044040,J4177,2025-10-07T23:07:23+00:00,2030-01-02T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,,,DPP-2026,East (ATC),,NRIS,,735.00,735.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044041,J4178,2025-10-07T19:42:02+00:00,2030-01-02T05:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044042,J4185,2025-10-07T19:50:56+00:00,2030-01-02T05:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3044043,J4146,2025-09-06T01:17:28+00:00,2028-08-04T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",,,0MW GIA,NA,,NRIS,,0.00,0.00,0.00,0.00,0.00,0.00,,,Active,,Not Started,,2028-08-04T04:00:00+00:00,,
3044044,J3831,2024-10-08T04:00:00+00:00,2029-06-01T04:00:00+00:00,INDIANAPOLIS POWER & LIGHT COMPANY,Madison,IN,DPP-2025,Central,Phase 1,NRIS,Noblesville (Duke) - Fall Creek (AEP/PJM) 345.0kV,215.00,240.00,0.00,0.00,0.00,0.00,Hybrid,Combustion Turbine (Simple Cycle),Withdrawn,,,2025-12-22T05:00:00+00:00,,,
3044045,J3832,2024-07-30T04:00:00+00:00,2028-04-05T04:00:00+00:00,ITC,Macomb,MI,DPP-2025,East (ITC),Phase 1,NRIS,Lenox 120kV Substation (Bus #264749),200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-22T05:00:00+00:00,,,
3044046,J3834,2024-09-19T04:00:00+00:00,2026-10-01T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Gibson,IN,DPP-2025,Central,Phase 1,NRIS,Gibson Sta - Francisco 345.0kV,300.00,300.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2026-04-14T04:00:00+00:00,,,
3044047,J3833,2024-10-01T04:00:00+00:00,2028-09-01T04:00:00+00:00,OTTER TAIL POWER COMPANY,Cass,ND,DPP-2025,West,Phase 1,NRIS,Buffalo 115 kV,200.00,200.00,200.00,200.00,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3044048,J3464,2024-04-16T04:00:00+00:00,2028-06-30T04:00:00+00:00,ITC MIDWEST,Story,IA,DPP-2023,West,Study Not Started,NRIS,Fernald,200.00,200.00,200.00,0.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3044049,J3462,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,ITC MIDWEST,Tama,IA,DPP-2023,West,Study Not Started,NRIS,Dysart - Traer 161kV,187.00,187.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-06-04T04:00:00+00:00,,,
3044050,J3461,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,MIDAMERICAN ENERGY CO.,Muscatine,IA,DPP-2023,West,Study Not Started,NRIS,SUB 56 - SUB 89 161.0kV,156.00,156.00,156.00,156.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3044051,J3463,2024-04-18T04:00:00+00:00,2026-10-01T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",Jefferson,MS,DPP-2023,South,Study Not Started,NRIS,LORMAN SS (CE) - FAYETTE 115.0kV,100.00,100.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-06-09T04:00:00+00:00,,,
3044052,J3485,2024-04-16T04:00:00+00:00,2028-09-15T04:00:00+00:00,ITC,Huron,MI,DPP-2023,East (ITC),Study Not Started,NRIS,RAPSON,100.00,100.00,100.00,100.00,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3044053,J3483,2024-04-16T04:00:00+00:00,2027-03-01T05:00:00+00:00,AMEREN ILLINOIS,Champaign,IL,DPP-2023,Central,Study Not Started,NRIS,4RANTOUL  - 4RISING   138.0kV,137.40,137.40,0.00,0.00,0.00,0.00,Wind,Wind Turbine,Withdrawn,,Not Started,2024-09-03T04:00:00+00:00,,,
3044054,J3486,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,WOLVERINE POWER SUPPLY COOPERATIVE,Muskegon,MI,DPP-2023,East (ITC),Study Not Started,NRIS,Rogers 138 kV Substation,200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-09-25T04:00:00+00:00,,,
3044055,J3482,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,AMEREN ILLINOIS,McLean,IL,DPP-2023,Central,Study Not Started,ERIS,Other_,350.00,350.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
