Project ID,Cycle,Stage,Name,Commercial Name,Developer,State,County,Status,Project Type,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Fuel,Submitted Date,Requested In-Service Date,Actual In-Service Date,Commercial Operation Milestone,Backfeed Date,Test Energy Date,Last Updated,Withdrawn Date,Withdrawn Remarks,Phase 1 SIS Report,Phase 1 SIS Report Status,Phase 2 SIS Report,Phase 2 SIS Report Status,Phase 3 SIS Report,Phase 3 SIS Report Status,Final SIS Report,Final SIS Report Status,EPA/GIA/WMPA Report,EPA/GIA/WMPA Report Status,CSA/USCA Report,CSA/USCA Report Status,Transmission Type,Rights (MW),TSR ID,TSR Start Date,TSR End Date,LTF MW
AH1-563,TC2,PHASE 2,Aurora E.C. 138kV,Aurora Battery Storage II,"Aurora Generation, LLC",IL,,Active,Generation Interconnection,ComEd,1206.00,150.00,150.00,,Capacity,Storage,9/11/2021,6/1/2029,,,,,6/2/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-563/AH1-563_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-563/AH1-563_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-344,TC2,Decision Point 1,Dequine 345 bkV,,Rainbow Trout Solar LLC,IN,Not Specified,Withdrawn,Generation Interconnection,AEP,100.00,100.00,78.00,0.00,CAPACITY_RESOURCE,Storage,3/26/2021,12/31/2028,,,,,,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-344/AG2-344_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-344/AG2-344_imp_PHASE_2.htm,Posted,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-570,TC2,PHASE 2,Millersburg 69 kV,,"South Fork Solar, LLC",KY,,Active,Generation Interconnection,EKPC,25.00,25.00,15.60,,Capacity,Solar,9/10/2021,,,,,,5/28/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-570/AH1-570_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-570/AH2-570_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-571,TC2,PHASE 2,Millersburg 69 kV,,"South Fork Solar, LLC",KY,,Active,Generation Interconnection,EKPC,45.00,20.00,12.50,,Capacity,Solar,9/10/2021,,,,,,5/28/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-571/AH1-571_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-571/AH1-571_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-617,TC2,PHASE 2,Harbert Metering 138 kV,,"STMO bn, LLC",KY,,Active,Generation Interconnection,AEP,200.00,200.00,120.00,,Capacity,Solar,9/10/2021,12/31/2028,,,,,6/4/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-617/AH1-617_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-617/AH1-617_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-644,TC2,Decision Point 1,Spicewood Metering 138 kV,,Kentucky Power Company,KY,Not Specified,Withdrawn,Generation Interconnection,AEP,100.00,100.00,65.00,0.00,CAPACITY_RESOURCE,Solar,9/15/2021,6/1/2030,,,,,10/15/2025,12/1/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-644/AH1-644_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-427,TC2,Decision Point 1,Tommy Gooch - Garrard County 69 kV,,"ACE Development Company, LLC",KY,Not Specified,Withdrawn,Generation Interconnection,EKPC,100.00,100.00,60.00,0.00,CAPACITY_RESOURCE,Solar,9/10/2021,4/1/2028,,,,,,11/26/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-427/AH1-427_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-136,TC2,Decision Point 1,Falcon - Middle Creek 46 kV,,"Big Sandy Renewables, LLC",KY,Not Specified,Withdrawn,Generation Interconnection,AEP,20.00,20.00,12.00,0.00,CAPACITY_RESOURCE,Solar,8/25/2021,12/1/2026,,,,,8/21/2025,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-136/AH1-136_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-163,TC2,APPLICATION REVIEW,Millersburg 69 kV,,"Derby Solar Farm, LLC ",KY,,Withdrawn,Generation Interconnection,EKPC,100.00,100.00,60.00,,Capacity,Solar,9/1/2021,7/31/2025,,,,,1/28/2025,1/28/2025,Customer Initiated Withdrawal,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-721,TC2,PHASE 2,Laurel-Cooper 161 kV,,"East Kentucky Power Cooperative, Inc.",KY,,Active,Generation Interconnection,EKPC,786.00,786.00,758.95,,Capacity,Natural Gas,4/2/2025,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-721/AH1-721_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-721/AH1-721_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
