Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
TI-18-0827,,RTOE Transitional Cluster,,Weld County,CO,TSGT,6/24/2022,,,,145.00,145.00,145.00,ER/NR,0.00,0.00,0.00,Wind,Wind,Redtail 115  Substation,8/27/2018,,IA FULLY EXECUTED/ON SCHEDULE,,,
TI-17-0224,,RTOE Transitional Cluster,,Kit Carson/Cheyenne Counties,CO,TSGT,9/2/2020,,,,104.00,104.00,104.00,ER/NR,0.00,0.00,0.00,Wind,Wind,Windtalker 230 Switching Station,2/24/2017,,IA FULLY EXECUTED/ON SCHEDULE,,,
TI-12-0217,,RTOE Transitional Cluster,,Ouray County,CO,TSGT,11/1/2013,,,,7.20,7.20,7.20,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Cow Creek 115 Switching Station,2/17/2012,,IA FULLY EXECUTED/ON SCHEDULE,,,
TI-08-0502,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,10/15/2010,,,,51.00,51.00,51.00,ER/NR,0.00,0.00,0.00,Wind,Wind,"Landsman Creek 230 Switching
Station",5/2/2008,,IA FULLY EXECUTED/ON SCHEDULE,,,
TI-08-0204,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,11/30/2015,,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Wind,Wind,Burlington 230  Bus,2/4/2008,,IA FULLY EXECUTED/ON SCHEDULE,,,
GI-TC-2024-31,,RTOE Transitional Cluster,,Elbert County,CO,TSGT,10/1/2027,12/31/2028,,,398.00,398.00,398.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,Lincoln - Midway 230  Line,5/29/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-30,,RTOE Transitional Cluster,,Morgan County,CO,TSGT,3/1/2028,,,,199.90,199.90,199.90,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Story 230 Substation,5/29/2024,,IA FULLY EXECUTED/ON SUSPENSION,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-29,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,9/15/2027,10/1/2028,,,170.00,170.00,170.00,ER/NR,0.00,0.00,0.00,Wind,Wind,Landsman Creek-Windtalker 230Line,5/29/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-28,,RTOE Transitional Cluster,,Weld County,CO,TSGT,6/2/2031,12/31/2027,,,222.30,222.30,222.30,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Lloyd Sisson 115  Substation,5/31/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-26,,RTOE Transitional Cluster,,Elbert County,CO,TSGT,1/1/2028,8/17/2027,,,199.00,199.00,199.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Lincoln – Midway 230  Line,5/31/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-25,,RTOE Transitional Cluster,,Weld County,CO,TSGT,6/2/2031,12/1/2028,,,350.00,350.00,350.00,ER,0.00,0.00,0.00,Wind,Wind,"Ault - Laramie River Station 345
Line",5/28/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-22,,RTOE Transitional Cluster,,Weld County,CO,TSGT,6/2/2031,3/1/2028,,,140.00,140.00,140.00,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Lloyd Sisson 115  Substation,5/23/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-21,,RTOE Transitional Cluster,,Montezuma County,CO,TSGT,7/2/2030,12/31/2028,,,125.00,125.00,125.00,ER,0.00,0.00,0.00,Hybrid,Solar/Storage,East Cortez 115 Substation,5/24/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-20,,RTOE Transitional Cluster,,Lincoln County,CO,TSGT,9/2/2030,7/1/2027,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Big Sandy 230 Substation,5/29/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-19,,RTOE Transitional Cluster,,Montrose County,CO,TSGT,5/3/2027,,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Montrose 115 Substation,5/7/2024,,IA FULLY EXECUTED/ON SUSPENSION,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-18,,RTOE Transitional Cluster,,Montezuma County,CO,TSGT,8/2/2029,5/31/2027,,,100.00,100.00,100.00,ER,0.00,0.00,0.00,Battery/Storage,,Lost Canyon 115 Substation,5/29/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-17,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,7/2/2030,1/1/2030,,,225.00,225.00,225.00,ER,0.00,0.00,0.00,Solar,Photovoltaic,Burlington-Wray 230 Line,5/29/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-16,,RTOE Transitional Cluster,,Laramie County,WY,TSGT,6/30/2029,,,,400.00,400.00,400.00,ER,0.00,0.00,0.00,Wind,Wind,Ault-Laramie River Station 345 Line,5/16/2023,,IA FULLY EXECUTED/ON SUSPENSION,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-15,,RTOE Transitional Cluster,,Laramie County,WY,TSGT,9/30/2029,,,,250.00,250.00,250.00,ER,0.00,0.00,0.00,Wind,Wind,Big Bear 345 Switching Station,5/23/2024,,IA FULLY EXECUTED/ON SUSPENSION,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-14,,RTOE Transitional Cluster,,Weld County,CO,TSGT,4/2/2031,12/31/2028,,,206.01,206.01,206.01,ER/NR,0.00,0.00,0.00,Solar,Photovoltaic,Greenhouse 230 Substation,5/31/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
